file,nodes,edges,density,avg_degree,avg_betweenness,simple_cycles,num_natural_loops,cycle_basis,cycle_status
../dotfiles/MiBench/office/ghostscript/src/mem_mapped_map_color_rgb.dot,1,0,0,0.0,0.0,0,0,0,ok
../dotfiles/MiBench/office/ghostscript/src/zcurrentalpha.dot,7,7,0.16666666666666666,2.0,0.08095238095238096,0,0,1,ok
../dotfiles/MiBench/office/ghostscript/src/gs_have_level2.dot,13,16,0.10256410256410256,2.4615384615384617,0.1678321678321678,3,1,4,ok
../dotfiles/MiBench/office/ghostscript/src/file_forget_save.dot,10,12,0.13333333333333333,2.4,0.11805555555555555,2,1,3,ok
../dotfiles/MiBench/office/ghostscript/src/gdev_pcl_3bit_map_color_rgb.dot,1,0,0,0.0,0.0,0,0,0,ok
../dotfiles/MiBench/office/ghostscript/src/zsetmaxlength.dot,14,19,0.1043956043956044,2.7142857142857144,0.035256410256410256,0,0,6,ok
../dotfiles/MiBench/office/ghostscript/src/zreadhexstring_continue.dot,14,19,0.1043956043956044,2.7142857142857144,0.038003663003663,0,0,6,ok
../dotfiles/MiBench/office/ghostscript/src/gettimeofday.dot,3,3,0.5,2.0,0.0,0,0,1,ok
../dotfiles/MiBench/office/ghostscript/src/os_get_params.dot,4,4,0.3333333333333333,2.0,0.041666666666666664,0,0,1,ok
../dotfiles/MiBench/office/ghostscript/src/build_gs_font_procs.dot,16,21,0.0875,2.625,0.036904761904761905,0,0,6,ok
../dotfiles/MiBench/office/ghostscript/src/stc_put_params.dot,946,1355,0.0015157108180363994,2.8646934460887947,0.03399166956271805,197,14,410,ok
../dotfiles/MiBench/office/ghostscript/src/paramValueToString.dot,8,9,0.16071428571428573,2.25,0.125,1,1,2,ok
../dotfiles/MiBench/office/ghostscript/src/rop21.dot,1,0,0,0.0,0.0,0,0,0,ok
../dotfiles/MiBench/office/ghostscript/src/zreversepath.dot,1,0,0,0.0,0.0,0,0,0,ok
../dotfiles/MiBench/office/ghostscript/src/rop35.dot,1,0,0,0.0,0.0,0,0,0,ok
../dotfiles/MiBench/office/ghostscript/src/gx_bits_cache_shorten.dot,4,5,0.4166666666666667,2.5,0.041666666666666664,0,0,2,ok
../dotfiles/MiBench/office/ghostscript/src/rop195.dot,1,0,0,0.0,0.0,0,0,0,ok
../dotfiles/MiBench/office/ghostscript/src/compare_values.dot,4,4,0.3333333333333333,2.0,0.041666666666666664,0,0,1,ok
../dotfiles/MiBench/office/ghostscript/src/s_pngp_count.dot,5,6,0.3,2.4,0.06666666666666667,0,0,2,ok
../dotfiles/MiBench/office/ghostscript/src/rop181.dot,1,0,0,0.0,0.0,0,0,0,ok
../dotfiles/MiBench/office/ghostscript/src/clist_image_data.dot,43,58,0.03211517165005537,2.697674418604651,0.11450989925181644,38,1,16,ok
../dotfiles/MiBench/office/ghostscript/src/clist_fill_mask.dot,93,135,0.015778401122019635,2.903225806451613,0.09962162662022409,10368,1,43,ok
